,age_last_funding_year,relationships,milestones,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,is_top500
46,2.9534,2,3,0,0,0,0,0,0,0,0,0,1,1
47,0.2466,9,2,1,0,0,0,0,0,0,0,0,0,1
48,1.189,6,2,1,0,0,0,0,0,0,0,0,0,1
49,3.2082,11,2,1,0,0,0,0,0,0,0,0,0,1
50,2.5836,5,1,0,1,0,0,0,0,0,0,0,0,1
51,2.4466,4,3,0,0,1,0,0,0,0,0,0,0,1
52,0.7479,12,5,0,1,0,0,0,0,0,0,0,0,1
53,6.8137,9,1,0,0,0,0,0,0,0,0,0,1,1
54,6.2329,37,4,0,0,0,1,0,0,0,0,0,0,1
55,3.4986,0,0,1,0,0,0,0,0,0,0,0,0,1
56,4.7616,13,2,0,0,0,0,0,0,0,0,0,1,1
57,4.1041,18,1,0,0,0,0,0,0,0,0,1,0,1
58,4.1534,10,4,1,0,0,0,0,0,0,0,0,0,1
59,6.189,6,2,0,0,1,0,0,0,0,0,0,0,1
60,10.9507,10,1,0,0,0,0,0,0,0,1,0,0,1
61,3.4986,6,1,0,0,0,0,0,0,0,0,0,1,1
62,9.3041,2,1,0,0,0,1,0,0,0,0,0,0,1
63,6.3726,0,0,1,0,0,0,0,0,0,0,0,0,0
64,2.7836,5,2,1,0,0,0,0,0,0,0,0,0,1
65,2.6438,4,2,0,0,0,0,0,0,0,0,0,1,1
66,1.0877,5,0,1,0,0,0,0,0,0,0,0,0,1
67,6.5205,4,4,0,0,0,0,1,0,0,0,0,0,0
68,7.2548,7,1,0,0,0,0,0,0,0,0,0,1,1
69,3.0247,9,2,0,0,0,0,1,0,0,0,0,0,1
70,0.6795,15,3,0,1,0,0,0,0,0,0,0,0,1
71,-0.0301,3,1,1,0,0,0,0,0,0,0,0,0,0
72,0.2466,10,3,0,1,0,0,0,0,0,0,0,0,1
73,9.337,17,3,0,0,0,0,1,0,0,0,0,0,1
74,1.8055,1,0,1,0,0,0,0,0,0,0,0,0,1
75,4.0027,2,1,1,0,0,0,0,0,0,0,0,0,1
76,9.1973,0,0,1,0,0,0,0,0,0,0,0,0,1
77,2.0986,12,3,0,0,0,0,0,0,0,0,0,1,1
78,3.0384,10,5,0,0,0,0,0,1,0,0,0,0,1
79,1.3425,4,2,0,0,1,0,0,0,0,0,0,0,1
80,2.0329,11,3,0,0,1,0,0,0,0,0,0,0,1
81,2.0466,2,0,0,0,0,0,0,0,0,0,0,1,1
82,3.9562,5,3,0,0,0,0,0,0,0,0,0,1,1
83,4.6822,3,1,0,0,0,0,0,0,0,0,0,1,1
84,5.6384,13,5,0,0,0,0,0,0,0,0,0,1,1
85,5.4411,1,0,1,0,0,0,0,0,0,0,0,0,0
86,1.1288,7,2,0,1,0,0,0,0,0,0,0,0,1
87,10.6658,2,1,0,0,0,0,0,0,0,0,0,1,1
88,0.8822,7,0,0,0,0,0,0,0,1,0,0,0,1
89,3.1041,5,2,1,0,0,0,0,0,0,0,0,0,1
90,7.8712,5,1,0,0,0,0,0,0,0,0,0,1,1
91,4.6658,1,0,0,0,0,0,1,0,0,0,0,0,1
92,2.5726,7,2,0,1,0,0,0,0,0,0,0,0,1
93,1.3397,24,2,0,0,0,0,0,0,0,0,0,1,1
94,4.8192,8,2,0,0,0,0,0,0,0,0,0,1,1
95,3.7233,1,0,0,0,0,0,0,0,0,0,0,1,1
96,6.5151,3,3,1,0,0,0,0,0,0,0,0,0,1
97,1.4082,1,1,1,0,0,0,0,0,0,0,0,0,1
98,4.2849,7,2,0,0,0,0,0,0,0,0,0,1,1
99,3.0137,3,0,0,0,0,0,0,0,0,0,0,1,1
100,20.8055,2,0,1,0,0,0,0,0,0,0,0,0,1
101,5.789,1,0,1,0,0,0,0,0,0,0,0,0,1
102,1.2712,5,0,1,0,0,0,0,0,0,0,0,0,1
103,8.2822,16,2,0,0,0,0,0,0,0,0,0,1,1
104,1.2548,21,2,0,1,0,0,0,0,0,0,0,0,1
105,4.8329,4,6,0,1,0,0,0,0,0,0,0,0,0
106,7.1068,9,3,1,0,0,0,0,0,0,0,0,0,1
107,1.0356,2,2,0,1,0,0,0,0,0,0,0,0,0
108,2.7233,5,3,0,1,0,0,0,0,0,0,0,0,1
109,3.1397,0,2,0,0,1,0,0,0,0,0,0,0,1
110,2.9014,11,3,0,1,0,0,0,0,0,0,0,0,1
111,4.7342,1,0,0,0,0,0,0,0,0,0,0,1,1
112,4.0137,0,0,0,0,0,0,0,0,0,0,0,1,0
113,0.411,10,2,0,0,0,0,0,0,0,0,0,1,1
114,1.9205,12,2,0,0,0,1,0,0,0,0,0,0,1
115,0.5014,10,3,0,0,1,0,0,0,0,0,0,0,1
116,10.7589,0,0,0,0,0,0,0,0,0,1,0,0,0
117,5.6904,3,1,0,0,0,0,0,0,0,0,0,1,1
118,1.0822,12,1,0,0,0,0,0,0,1,0,0,0,0
119,1.7479,4,2,0,1,0,0,0,0,0,0,0,0,0
120,0.5808,1,1,0,1,0,0,0,0,0,0,0,0,1
121,2.7753,6,2,0,0,0,0,0,0,1,0,0,0,1
122,0.8192,7,2,0,0,0,1,0,0,0,0,0,0,1
123,1.4959,14,3,0,0,0,0,0,0,0,0,0,1,1
124,4.4137,14,2,0,0,0,0,0,0,0,0,0,1,1
125,4.5507,2,0,0,0,0,0,0,0,0,1,0,0,1
126,7.9205,6,3,0,1,0,0,0,0,0,0,0,0,1
127,1.4877,3,2,0,0,0,0,1,0,0,0,0,0,1
128,4.2356,2,1,0,0,1,0,0,0,0,0,0,0,1
129,5.4384,2,1,0,0,0,0,0,0,0,0,0,1,1
130,7.5315,2,1,0,1,0,0,0,0,0,0,0,0,1
131,1.7699,6,2,0,0,0,0,0,1,0,0,0,0,1
132,4.2247,9,2,1,0,0,0,0,0,0,0,0,0,1
133,6.1233,9,1,0,0,0,0,0,0,0,0,0,1,1
134,1.8329,4,1,0,1,0,0,0,0,0,0,0,0,1
135,6.0055,1,0,0,0,1,0,0,0,0,0,0,0,1
136,3.5288,1,0,0,0,0,0,0,0,0,0,0,1,1
137,6.6466,4,2,0,0,0,0,0,0,0,1,0,0,1
138,4.4055,27,3,0,0,0,0,1,0,0,0,0,0,1
139,0.5726,12,2,0,0,0,0,0,0,0,0,0,1,0
140,5.3178,13,0,0,0,0,0,0,0,0,0,0,1,1
141,2.3315,6,1,1,0,0,0,0,0,0,0,0,0,1
142,3.9178,8,3,0,0,0,0,0,1,0,0,0,0,0
143,1.9178,4,1,0,0,1,0,0,0,0,0,0,0,1
144,0.8959,9,2,0,1,0,0,0,0,0,0,0,0,1
145,3.7863,11,2,1,0,0,0,0,0,0,0,0,0,1
146,1.8822,6,2,0,0,0,0,0,1,0,0,0,0,1
147,3.874,3,1,1,0,0,0,0,0,0,0,0,0,1
148,2.6493,4,2,0,0,0,0,0,0,0,0,0,1,1
149,4.1644,5,5,0,1,0,0,0,0,0,0,0,0,1
150,6.8877,2,0,0,0,0,0,0,0,0,0,0,1,1
151,1.1836,1,1,0,1,0,0,0,0,0,0,0,0,0
152,0.2493,1,2,0,1,0,0,0,0,0,0,0,0,0
153,4.9205,10,5,0,0,1,0,0,0,0,0,0,0,1
154,9.4247,12,3,0,0,1,0,0,0,0,0,0,0,1
155,1.2219,2,3,0,1,0,0,0,0,0,0,0,0,1
156,4.7068,17,2,1,0,0,0,0,0,0,0,0,0,1
157,3.6712,12,3,0,1,0,0,0,0,0,0,0,0,1
158,1.9562,5,1,0,1,0,0,0,0,0,0,0,0,0
159,0.0027,3,1,0,1,0,0,0,0,0,0,0,0,0
160,4.0301,5,1,0,0,0,0,0,0,0,0,0,1,1
161,4.6548,0,2,0,0,0,0,0,0,0,0,0,1,1
162,5.9562,5,1,0,0,0,0,0,0,0,1,0,0,1
163,6.6137,5,0,0,0,0,1,0,0,0,0,0,0,1
164,3.4301,4,2,1,0,0,0,0,0,0,0,0,0,1
165,2.6685,11,3,0,0,0,0,0,0,0,0,0,1,1
166,2.0685,6,3,0,0,0,0,1,0,0,0,0,0,1
167,0.0,2,1,0,1,0,0,0,0,0,0,0,0,0
168,3.6055,5,3,0,0,1,0,0,0,0,0,0,0,1
169,2.8055,6,2,0,0,0,0,0,1,0,0,0,0,1
170,4.9178,30,5,0,1,0,0,0,0,0,0,0,0,1
171,4.0027,8,3,0,0,0,0,0,0,0,0,0,1,1
172,1.189,5,3,0,0,1,0,0,0,0,0,0,0,1
173,6.2301,7,0,0,0,0,0,0,0,0,0,0,1,1
174,4.8795,5,1,1,0,0,0,0,0,0,0,0,0,1
175,1.5808,14,2,0,0,0,1,0,0,0,0,0,0,0
176,1.7644,6,1,0,0,0,1,0,0,0,0,0,0,1
177,2.2849,5,2,0,0,0,0,0,0,0,0,0,1,1
178,3.6329,4,4,0,0,0,0,0,0,1,0,0,0,0
179,3.9699,13,4,1,0,0,0,0,0,0,0,0,0,1
180,8.1014,3,0,0,0,0,0,1,0,0,0,0,0,1
181,2.4219,21,3,0,1,0,0,0,0,0,0,0,0,1
182,7.1342,8,1,0,0,0,0,0,0,0,0,0,1,1
183,4.6329,13,0,1,0,0,0,0,0,0,0,0,0,1
184,1.5863,2,0,0,0,1,0,0,0,0,0,0,0,1
185,10.5315,0,0,0,0,1,0,0,0,0,0,0,0,1
186,3.8685,7,2,0,0,0,1,0,0,0,0,0,0,1
187,8.2877,5,1,0,1,0,0,0,0,0,0,0,0,0
188,8.1288,4,1,0,0,0,1,0,0,0,0,0,0,0
189,1.1425,15,1,0,0,0,0,0,0,0,0,0,1,1
190,6.3151,4,1,1,0,0,0,0,0,0,0,0,0,1
191,2.7507,5,2,0,0,0,0,0,1,0,0,0,0,1
192,7.3507,2,1,1,0,0,0,0,0,0,0,0,0,1
193,3.0384,7,2,0,1,0,0,0,0,0,0,0,0,1
194,0.8932,8,4,0,1,0,0,0,0,0,0,0,0,1
195,4.4247,15,4,0,0,0,0,0,1,0,0,0,0,1
196,5.0027,16,2,0,0,0,0,1,0,0,0,0,0,1
197,5.5836,2,0,0,0,0,0,0,0,0,0,0,1,1
198,5.4438,3,0,0,0,0,0,0,0,0,0,0,1,1
199,5.5589,10,1,1,0,0,0,0,0,0,0,0,0,1
200,0.4685,5,3,0,0,1,0,0,0,0,0,0,0,1
201,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0
202,5.5616,8,3,0,0,0,1,0,0,0,0,0,0,1
203,8.3397,4,5,0,0,0,1,0,0,0,0,0,0,1
204,3.211,4,3,0,0,0,0,1,0,0,0,0,0,1
205,2.2055,12,6,0,1,0,0,0,0,0,0,0,0,1
206,1.4986,3,4,0,1,0,0,0,0,0,0,0,0,1
207,0.0,3,0,0,0,0,0,0,0,0,0,0,1,0
208,8.6411,10,2,0,0,0,0,1,0,0,0,0,0,0
209,10.3151,0,0,0,0,0,0,0,0,0,0,0,1,0
210,4.0301,3,0,1,0,0,0,0,0,0,0,0,0,1
211,2.0849,4,3,0,0,0,0,1,0,0,0,0,0,1
212,1.5616,6,3,0,0,0,0,0,0,0,0,0,1,1
213,2.4493,0,0,1,0,0,0,0,0,0,0,0,0,0
214,11.3342,3,0,0,0,0,0,0,0,0,1,0,0,1
215,10.4082,5,0,0,0,0,0,0,0,0,0,0,1,1
216,9.1178,33,4,1,0,0,0,0,0,0,0,0,0,1
217,3.737,14,3,0,1,0,0,0,0,0,0,0,0,1
218,2.4356,7,2,0,0,0,0,0,0,0,0,0,1,1
219,4.0384,10,1,0,0,0,0,1,0,0,0,0,0,0
220,2.0959,6,3,0,0,0,0,1,0,0,0,0,0,1
221,6.0932,3,2,1,0,0,0,0,0,0,0,0,0,1
222,1.2493,6,1,0,0,0,0,0,0,1,0,0,0,0
223,0.0,4,1,0,0,0,0,0,0,0,0,0,1,0
224,0.463,16,2,0,0,0,1,0,0,0,0,0,0,1
225,4.3863,7,2,0,0,0,0,0,0,0,0,0,1,1
226,4.2384,1,0,0,0,0,0,0,0,0,1,0,0,1
227,1.4712,5,2,0,0,0,0,0,0,1,0,0,0,1
228,5.8356,25,2,0,0,0,0,1,0,0,0,0,0,1
229,5.8493,4,1,0,0,0,0,0,0,0,0,0,1,1
230,2.189,32,0,0,0,0,0,0,0,0,0,0,1,1
231,1.4658,12,3,0,0,0,1,0,0,0,0,0,0,1
232,1.4986,9,1,1,0,0,0,0,0,0,0,0,0,1
233,6.6795,7,1,1,0,0,0,0,0,0,0,0,0,0
234,-0.2466,9,4,0,0,1,0,0,0,0,0,0,0,0
235,5.1397,2,1,0,0,0,0,1,0,0,0,0,0,0
236,1.0877,15,2,0,0,0,0,1,0,0,0,0,0,1
237,2.1479,2,1,0,1,0,0,0,0,0,0,0,0,0
238,1.3507,13,2,0,1,0,0,0,0,0,0,0,0,1
239,2.8329,17,4,0,0,0,0,1,0,0,0,0,0,1
240,0.6247,11,3,0,0,0,1,0,0,0,0,0,0,0
241,3.0082,4,0,1,0,0,0,0,0,0,0,0,0,0
242,2.1616,14,4,0,0,0,0,0,0,0,0,0,1,1
243,4.2301,8,2,0,0,0,0,1,0,0,0,0,0,0
244,6.2795,16,3,0,0,0,0,0,0,0,0,0,1,1
245,4.8247,1,1,0,0,1,0,0,0,0,0,0,0,1
246,3.1863,5,3,0,0,0,0,0,0,0,0,0,1,1
247,4.3973,6,1,0,0,0,1,0,0,0,0,0,0,1
248,1.5014,6,2,0,0,0,1,0,0,0,0,0,0,0
249,0.0,0,2,0,1,0,0,0,0,0,0,0,0,1
250,2.3452,0,0,0,0,0,0,0,0,0,0,0,1,0
251,4.326,12,5,0,0,1,0,0,0,0,0,0,0,1
252,5.5945,3,0,0,0,0,0,0,0,0,0,0,1,1
253,0.6712,3,2,0,0,0,0,0,1,0,0,0,0,0
254,1.0,6,3,0,0,1,0,0,0,0,0,0,0,1
255,8.3096,5,0,0,0,0,0,0,0,0,1,0,0,1
256,6.2274,8,2,0,0,0,0,0,0,0,1,0,0,1
257,1.726,8,2,0,0,0,1,0,0,0,0,0,0,1
258,5.7534,6,2,0,0,0,0,0,0,0,0,0,1,1
259,5.2521,11,2,0,0,0,0,0,1,0,0,0,0,1
260,5.9644,7,0,1,0,0,0,0,0,0,0,0,0,1
261,8.126,13,2,0,0,0,0,0,0,0,0,0,1,1
262,3.6027,2,1,0,0,0,0,0,0,0,0,0,1,1
263,-1.9863,3,0,0,0,0,0,0,0,0,0,0,1,0
264,16.4192,0,0,0,0,0,0,0,0,0,0,0,1,0
265,1.337,3,1,1,0,0,0,0,0,0,0,0,0,1
266,1.937,3,2,0,0,0,1,0,0,0,0,0,0,1
267,0.3699,5,4,0,0,0,0,0,0,0,0,0,1,1
268,5.5753,8,1,0,0,0,0,1,0,0,0,0,0,1
269,5.0712,3,2,0,0,1,0,0,0,0,0,0,0,1
270,5.8301,1,0,1,0,0,0,0,0,0,0,0,0,1
271,4.3836,10,2,0,0,1,0,0,0,0,0,0,0,1
272,0.4137,9,3,0,1,0,0,0,0,0,0,0,0,1
273,6.9671,11,3,0,0,0,0,0,0,0,0,0,1,1
274,9.3068,5,1,0,0,0,1,0,0,0,0,0,0,1
275,3.3014,8,2,0,0,0,0,0,0,0,0,0,1,0
276,1.9068,5,2,0,0,0,0,0,0,0,0,0,1,1
277,7.2904,1,0,0,0,0,0,0,0,0,1,0,0,1
278,1.0986,6,2,0,1,0,0,0,0,0,0,0,0,1
279,4.0055,2,1,1,0,0,0,0,0,0,0,0,0,1
280,0.0548,4,2,0,0,0,0,0,0,0,0,0,1,0
281,3.4274,4,2,1,0,0,0,0,0,0,0,0,0,1
282,5.063,10,2,0,0,0,0,1,0,0,0,0,0,1
283,0.0,2,1,0,0,0,0,0,1,0,0,0,0,0
284,-0.0849,3,0,0,0,0,0,0,0,0,0,0,1,0
285,2.7288,8,3,0,0,1,0,0,0,0,0,0,0,1
286,0.4712,12,2,0,1,0,0,0,0,0,0,0,0,0
287,4.0438,2,3,0,1,0,0,0,0,0,0,0,0,1
288,7.874,6,1,0,0,0,0,0,0,0,0,0,1,1
289,3.5452,27,5,0,0,0,0,0,0,0,0,0,1,1
290,5.0356,2,0,0,0,0,0,0,0,0,0,0,1,1
291,7.3151,6,1,0,0,0,0,0,0,0,1,0,0,1
292,1.0027,2,2,0,0,0,0,0,1,0,0,0,0,0
293,1.6712,3,0,0,0,0,0,0,0,0,0,0,1,0
294,4.9726,1,1,0,1,0,0,0,0,0,0,0,0,1
295,2.8247,1,2,1,0,0,0,0,0,0,0,0,0,0
296,3.2959,18,4,0,0,1,0,0,0,0,0,0,0,1
297,4.1041,4,0,0,0,0,1,0,0,0,0,0,0,1
298,4.3041,0,0,0,0,0,0,0,0,0,0,0,1,0
299,6.0329,1,0,0,0,0,0,0,0,0,0,0,1,1
300,0.0,5,2,0,0,1,0,0,0,0,0,0,0,0
301,2.5808,10,3,0,1,0,0,0,0,0,0,0,0,0
302,7.2521,23,4,0,0,0,0,0,1,0,0,0,0,1
303,0.5863,8,1,0,0,0,0,0,0,1,0,0,0,0
304,0.8027,5,2,0,1,0,0,0,0,0,0,0,0,1
305,6.2247,2,2,0,0,1,0,0,0,0,0,0,0,1
306,4.3699,0,0,0,0,0,0,0,0,0,0,0,1,0
307,1.0247,12,2,0,0,0,0,0,0,0,0,0,1,1
308,6.7534,57,8,0,0,0,0,0,0,0,0,0,1,1
309,5.863,9,4,0,0,0,0,0,0,0,0,0,1,1
310,3.8795,12,2,0,0,0,0,0,0,0,0,0,1,1
311,7.5041,5,0,0,0,0,0,0,1,0,0,0,0,1
312,0.6658,20,0,0,0,0,0,0,0,0,0,0,1,1
313,3.0986,10,3,0,0,0,0,1,0,0,0,0,0,1
314,7.8247,16,3,0,1,0,0,0,0,0,0,0,0,1
315,4.4959,4,0,1,0,0,0,0,0,0,0,0,0,1
316,0.0849,1,1,0,1,0,0,0,0,0,0,0,0,0
317,2.7288,16,4,0,0,1,0,0,0,0,0,0,0,1
318,4.8521,5,1,0,0,0,0,0,0,0,0,0,1,1
319,3.7068,5,4,0,0,0,0,0,1,0,0,0,0,1
320,2.1288,9,4,0,1,0,0,0,0,0,0,0,0,1
321,3.0466,9,2,0,0,0,0,0,0,0,0,0,1,1
322,10.1288,35,3,0,0,0,0,0,0,0,0,0,1,1
323,3.0712,16,2,0,0,0,0,0,0,0,0,0,1,1
324,0.7041,5,3,0,0,0,0,0,0,0,0,0,1,1
325,1.4055,3,2,0,0,0,0,0,1,0,0,0,0,1
326,1.8658,2,2,0,0,0,0,0,0,0,0,0,1,1
327,2.2164,5,4,0,0,1,0,0,0,0,0,0,0,1
328,5.7534,13,3,0,0,0,0,0,0,0,0,0,1,1
329,6.3945,15,1,1,0,0,0,0,0,0,0,0,0,1
330,6.5753,10,1,0,0,0,1,0,0,0,0,0,0,1
331,8.5342,3,2,0,0,0,0,0,0,0,0,0,1,1
332,3.0849,7,3,0,0,0,0,0,0,0,0,0,1,1
333,11.4329,1,0,0,0,0,0,0,0,0,0,0,1,1
334,3.4767,8,3,0,0,0,0,0,0,0,0,0,1,1
335,2.6384,13,4,0,1,0,0,0,0,0,0,0,0,1
336,0.0,3,1,0,0,0,0,0,0,0,0,0,1,0
337,3.3562,9,5,0,1,0,0,0,0,0,0,0,0,1
338,3.9562,24,3,0,0,0,1,0,0,0,0,0,0,1
339,7.1534,10,2,0,0,0,0,1,0,0,0,0,0,1
340,-0.4137,10,4,0,0,0,0,0,1,0,0,0,0,1
341,3.6904,6,2,0,0,0,1,0,0,0,0,0,0,1
342,7.2274,5,1,0,0,0,1,0,0,0,0,0,0,0
343,5.011,2,0,0,0,0,0,0,0,0,1,0,0,1
344,0.8027,4,1,1,0,0,0,0,0,0,0,0,0,0
345,1.3781,7,2,0,1,0,0,0,0,0,0,0,0,1
346,12.4055,9,2,0,0,0,0,0,1,0,0,0,0,1
347,2.0027,4,0,0,1,0,0,0,0,0,0,0,0,0
348,6.9671,19,2,0,0,0,0,0,0,0,0,0,1,1
349,7.1205,3,0,0,0,0,0,0,0,0,0,0,1,1
350,0.3288,3,1,0,1,0,0,0,0,0,0,0,0,0
351,2.1781,3,2,0,0,1,0,0,0,0,0,0,0,0
352,5.0192,1,0,0,0,0,0,0,0,0,1,0,0,1
353,2.5151,0,0,0,0,0,1,0,0,0,0,0,0,1
354,4.2219,18,3,0,0,0,0,1,0,0,0,0,0,1
355,3.4247,14,5,0,0,0,0,0,0,0,0,0,1,1
356,1.7671,6,5,1,0,0,0,0,0,0,0,0,0,1
357,2.8493,7,3,0,0,0,1,0,0,0,0,0,0,1
358,7.5041,45,3,0,0,1,0,0,0,0,0,0,0,1
359,3.8438,18,1,0,0,1,0,0,0,0,0,0,0,1
360,6.4192,26,1,1,0,0,0,0,0,0,0,0,0,1
361,2.5973,7,2,0,0,0,1,0,0,0,0,0,0,1
362,5.7534,4,2,1,0,0,0,0,0,0,0,0,0,1
363,3.937,5,4,0,0,1,0,0,0,0,0,0,0,0
364,9.4164,19,2,0,0,1,0,0,0,0,0,0,0,1
365,6.9699,6,2,0,0,0,0,0,0,0,0,0,1,1
366,1.4055,4,1,0,0,0,0,0,0,0,0,0,1,1
367,3.3534,3,0,0,0,0,0,1,0,0,0,0,0,1
368,3.1452,3,4,0,0,0,0,0,0,0,0,0,1,0
369,4.7753,2,1,1,0,0,0,0,0,0,0,0,0,1
370,4.7397,22,5,0,0,0,1,0,0,0,0,0,0,1
371,2.0685,3,1,1,0,0,0,0,0,0,0,0,0,1
372,2.0932,4,2,0,1,0,0,0,0,0,0,0,0,0
373,2.1123,23,2,0,0,0,0,0,0,0,0,0,1,1
374,7.9315,7,5,0,0,1,0,0,0,0,0,0,0,1
375,0.3616,9,3,0,0,0,0,0,0,1,0,0,0,0
376,5.4904,14,2,0,0,0,0,0,0,0,0,0,1,1
377,4.8192,21,3,0,0,0,0,0,0,0,0,0,1,1
378,3.4411,6,2,1,0,0,0,0,0,0,0,0,0,1
379,5.0055,23,6,0,0,1,0,0,0,0,0,0,0,1
380,2.0548,8,3,0,0,0,0,1,0,0,0,0,0,1
381,1.874,13,2,0,0,0,0,0,0,0,0,0,1,1
382,1.1479,14,2,0,1,0,0,0,0,0,0,0,0,1
383,5.1068,3,0,0,0,0,0,0,0,0,0,0,1,1
384,3.5945,17,4,0,0,0,0,0,0,0,0,0,1,1
385,1.4466,5,1,0,0,0,0,1,0,0,0,0,0,0
386,2.063,11,2,0,0,1,0,0,0,0,0,0,0,1
387,14.0329,3,2,1,0,0,0,0,0,0,0,0,0,1
388,8.2219,4,0,0,0,0,0,0,0,0,0,0,1,1
389,4.3753,1,2,0,0,0,0,0,0,0,0,0,1,1
390,2.1781,2,1,0,0,0,0,0,0,0,0,0,1,1
391,7.5863,35,5,0,0,0,0,0,0,0,0,1,0,1
392,3.8822,4,3,1,0,0,0,0,0,0,0,0,0,1
393,6.7479,3,1,0,0,0,0,0,0,0,1,0,0,1
394,8.9562,7,1,1,0,0,0,0,0,0,0,0,0,1
395,1.8986,21,3,0,1,0,0,0,0,0,0,0,0,1
396,6.3781,8,0,1,0,0,0,0,0,0,0,0,0,1
397,0.9151,15,4,0,1,0,0,0,0,0,0,0,0,1
398,5.0767,7,2,0,0,0,1,0,0,0,0,0,0,0
399,2.5397,9,3,0,0,0,0,0,0,0,0,0,1,1
400,2.4986,10,3,0,1,0,0,0,0,0,0,0,0,1
401,4.0027,5,3,0,0,1,0,0,0,0,0,0,0,1
402,4.2959,3,1,1,0,0,0,0,0,0,0,0,0,1
403,4.4904,2,0,0,0,0,0,0,0,0,0,0,1,1
404,8.2548,6,0,0,0,1,0,0,0,0,0,0,0,1
405,4.2795,7,2,1,0,0,0,0,0,0,0,0,0,1
406,1.926,2,1,0,0,0,1,0,0,0,0,0,0,1
407,5.2329,31,3,0,0,0,0,0,0,0,0,0,1,1
408,2.5233,5,3,0,0,0,0,0,0,0,0,0,1,1
409,5.2247,5,3,1,0,0,0,0,0,0,0,0,0,1
410,1.4137,1,1,0,0,0,0,0,0,0,0,0,1,1
411,7.1973,3,2,0,0,0,0,0,0,1,0,0,0,1
412,1.4959,5,1,0,0,0,0,0,0,0,0,0,1,1
413,1.1644,16,4,0,1,0,0,0,0,0,0,0,0,1
414,1.6521,6,2,0,1,0,0,0,0,0,0,0,0,1
415,1.2466,4,4,0,0,0,0,0,1,0,0,0,0,1
416,2.326,8,2,0,0,1,0,0,0,0,0,0,0,1
417,0.0,2,1,0,0,0,0,0,1,0,0,0,0,0
418,7.3753,6,1,0,0,0,0,0,0,0,0,0,1,1
419,11.1699,3,2,0,0,0,0,0,0,0,0,0,1,1
