,name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
207,0,2015,60000,2,1,1,1,20.51,998.0,67.04,5.0
208,4,2012,100000,2,1,2,1,14.53,1794.0,138.1,5.0
209,2,2012,60000,2,1,1,1,19.4,1198.0,86.8,5.0
210,0,2018,5000,2,1,2,1,21.4,1197.0,83.1,5.0
211,8,2017,60000,1,1,1,1,14.1,2179.0,147.94,7.0
212,0,2011,25000,2,1,1,2,19.7,796.0,46.3,5.0
213,6,2018,30000,2,1,1,1,25.17,799.0,53.3,5.0
214,10,2017,80000,2,1,1,2,20.63,1198.0,67.0,5.0
215,0,2017,75000,1,1,1,1,24.3,1248.0,88.5,5.0
216,3,2020,32000,2,1,1,1,20.14,1197.0,81.86,5.0
217,0,2015,40000,2,1,1,1,22.74,796.0,47.3,5.0
218,3,2012,93000,2,1,1,2,17.0,1197.0,80.0,5.0
219,8,2018,60000,2,1,1,1,17.57,1193.0,88.7,5.0
220,17,2014,37000,2,1,1,1,16.95,1498.0,97.7,5.0
221,5,2018,15000,2,1,1,1,17.0,1497.0,121.36,5.0
222,17,2015,80000,2,1,1,1,19.49,1198.0,67.04,5.0
223,0,2016,140000,2,1,1,1,20.51,998.0,67.04,5.0
224,7,2013,70000,1,1,1,1,12.83,2696.0,162.0,7.0
225,7,2013,120000,1,1,1,2,17.21,1493.0,100.0,7.0
226,0,2010,110000,1,1,1,2,21.1,1248.0,73.9,5.0
227,3,2017,37000,1,1,1,1,19.67,1582.0,126.2,5.0
228,6,2016,44000,2,1,1,1,25.17,799.0,53.3,5.0
229,0,2015,80000,1,1,1,1,20.77,1248.0,88.76,7.0
230,7,2015,125000,1,1,1,1,15.1,2179.0,140.0,7.0
231,0,2017,13500,2,1,1,1,15.37,1196.0,73.0,5.0
232,3,2011,75000,2,1,1,1,17.92,1086.0,62.1,5.0
233,3,2007,120000,2,1,1,2,13.2,1495.0,94.0,5.0
234,7,2012,120000,1,1,1,1,15.1,2179.0,140.0,7.0
235,4,2013,70000,1,1,1,1,12.99,2494.0,100.57,7.0
236,0,2013,70000,1,1,1,1,23.4,1248.0,74.0,5.0
237,2,2019,15000,2,1,2,1,19.0,1199.0,88.76,5.0
238,3,2009,53000,2,1,1,2,20.36,1197.0,78.9,5.0
239,0,2014,120000,1,1,1,2,23.4,1248.0,74.0,5.0
240,0,2016,70000,1,1,1,1,24.52,1248.0,88.5,7.0
241,3,2008,120000,2,1,1,2,14.2,1341.0,82.9,5.0
242,3,2012,100000,2,1,1,2,18.5,1197.0,80.0,5.0
243,0,2015,100000,2,1,1,1,20.4,1197.0,83.11,5.0
244,8,2013,162500,1,1,1,1,19.4,1405.0,70.0,5.0
245,3,2017,39000,1,1,1,1,22.54,1396.0,88.73,5.0
246,0,2017,75000,1,1,1,1,26.8,1248.0,74.0,5.0
247,8,2017,50000,1,1,2,1,17.6,2179.0,153.86,7.0
248,7,2019,40000,1,1,1,1,17.3,1497.0,121.0,8.0
249,3,2013,92500,1,1,1,1,22.32,1582.0,126.3,5.0
250,0,2012,158000,1,1,1,1,23.4,1248.0,74.0,5.0
251,0,2012,120000,1,1,1,1,19.3,1248.0,73.9,5.0
252,2,2015,50000,1,1,1,2,26.0,1498.0,98.6,5.0
253,0,2012,110000,1,1,1,1,19.3,1248.0,73.9,5.0
254,3,2017,2000,1,1,1,2,25.4,1186.0,73.97,5.0
255,4,2011,181000,1,1,1,2,11.5,2982.0,171.0,7.0
256,8,2016,70000,1,1,1,1,27.28,1047.0,69.0,5.0
257,17,2013,90000,2,1,2,2,17.97,1498.0,99.6,5.0
258,3,2019,2000,2,1,1,1,18.6,1197.0,81.86,5.0
259,0,2015,20000,2,1,1,1,20.85,1197.0,83.14,5.0
260,4,2011,120000,1,1,1,1,12.8,2494.0,102.0,7.0
261,7,2017,35000,1,1,1,1,16.55,2498.0,105.0,6.0
262,0,2012,193000,1,1,1,1,19.3,1248.0,73.9,5.0
263,0,2014,80000,2,1,1,1,20.4,1197.0,81.8,5.0
264,10,2019,40000,2,1,1,1,19.02,1198.0,67.05,5.0
265,3,2015,70000,1,1,1,4,22.54,1396.0,88.73,5.0
266,7,2011,122358,1,1,1,1,12.05,2179.0,120.0,9.0
267,8,2015,75000,1,1,1,1,14.07,2956.0,69.01,7.0
268,8,2017,120000,1,1,1,1,27.28,1047.0,69.0,5.0
269,8,2015,40000,2,1,1,1,17.57,1193.0,88.7,5.0
270,3,2008,95200,2,1,1,3,13.2,1495.0,94.0,5.0
271,2,2014,33033,2,2,1,1,19.4,1198.0,86.8,5.0
272,3,2015,63063,2,2,2,1,18.9,1197.0,82.0,5.0
273,8,2012,60000,1,1,1,1,21.02,1248.0,88.76,5.0
274,0,2005,45000,2,1,1,2,19.7,796.0,46.3,5.0
275,8,2011,80000,1,1,1,3,11.57,2179.0,138.1,7.0
276,7,2009,170000,1,1,1,2,13.6,2523.0,63.0,7.0
277,7,2007,207890,1,1,1,2,13.6,2523.0,63.0,7.0
278,12,2018,7976,1,1,2,1,17.9,2143.0,170.0,5.0
279,0,2016,35000,2,1,1,1,16.8,796.0,34.2,8.0
280,3,2017,35000,2,1,1,1,18.9,1197.0,82.0,5.0
281,3,2013,50000,2,1,2,1,16.95,1197.0,78.9,5.0
282,0,2016,20000,2,1,1,1,20.4,1197.0,81.8,5.0
283,3,2011,20000,2,1,2,1,16.95,1197.0,78.9,5.0
284,0,2012,50000,2,1,1,2,18.6,1197.0,85.8,5.0
285,7,2014,120000,1,1,1,1,15.96,2523.0,62.1,7.0
286,3,2014,70000,2,1,1,1,17.1,1591.0,121.3,5.0
287,3,2015,50000,2,1,1,1,17.19,1197.0,81.86,5.0
288,0,2019,16500,2,1,1,1,21.01,1197.0,81.8,5.0
289,3,2010,70000,2,1,1,1,17.0,1197.0,80.0,5.0
290,0,2005,99361,2,1,1,2,19.7,796.0,46.3,5.0
291,0,2017,25000,1,1,1,1,26.59,1248.0,74.0,5.0
292,0,2014,70000,2,1,1,2,19.1,1197.0,85.8,5.0
293,3,2015,80000,1,1,1,2,24.0,1120.0,70.0,5.0
294,0,2014,70000,2,1,1,2,19.1,1197.0,85.8,5.0
295,9,2012,60000,2,1,1,3,18.6,1199.0,79.4,5.0
296,8,2018,10000,2,1,2,1,20.3,1199.0,84.0,5.0
297,0,2006,80000,2,1,1,1,16.1,796.0,37.0,4.0
298,2,2017,30000,1,1,1,1,25.6,1498.0,97.9,5.0
299,2,2017,33000,1,1,1,1,25.6,1498.0,97.9,5.0
300,0,2013,90000,2,1,1,3,16.02,1373.0,93.7,7.0
301,17,2014,80100,1,1,1,2,19.01,1461.0,108.5,5.0
302,2,2014,120000,2,1,1,1,17.4,1497.0,117.3,5.0
303,6,2016,40000,2,1,1,1,25.17,799.0,53.3,5.0
304,4,2013,160000,1,1,1,2,12.99,2494.0,100.6,8.0
305,0,2017,47000,2,1,1,1,20.51,998.0,67.04,5.0
306,3,2018,25000,1,1,1,1,21.38,1396.0,88.7,5.0
307,8,2017,26000,2,1,1,1,23.84,1199.0,84.0,5.0
308,3,2018,29000,1,1,1,1,24.0,1186.0,73.97,5.0
309,0,2016,50000,2,1,2,1,21.4,1197.0,83.1,5.0
310,0,2011,58000,2,1,1,3,16.1,1298.0,88.2,5.0
311,0,2012,120000,2,1,2,1,17.4,1197.0,85.8,5.0
312,0,2014,50000,2,1,1,1,20.4,1197.0,81.8,5.0
313,3,2010,80000,2,1,1,4,17.0,1197.0,80.0,5.0
314,0,2003,60000,2,1,1,4,17.3,993.0,60.0,5.0
315,0,2017,36000,2,1,1,1,23.1,998.0,67.04,5.0
316,4,2007,120000,1,1,1,3,12.8,2494.0,102.0,8.0
317,0,2011,185000,1,1,1,3,21.1,1248.0,73.9,5.0
318,17,2011,50000,1,1,1,1,23.08,1461.0,63.1,5.0
319,0,2002,100000,2,1,1,4,17.3,993.0,60.0,5.0
320,3,2013,50000,2,1,1,2,17.1,1591.0,121.3,5.0
321,0,2007,80000,2,1,1,2,18.2,998.0,67.1,5.0
322,0,2005,80000,2,1,1,4,19.7,796.0,46.3,5.0
323,0,2011,90000,1,1,1,4,19.3,1248.0,73.9,5.0
324,0,2010,162000,2,1,1,2,19.0,998.0,66.1,5.0
325,0,2013,110000,1,1,1,3,20.77,1248.0,88.76,7.0
326,0,2008,120000,1,1,1,3,17.8,1248.0,75.0,5.0
327,17,2011,45000,1,1,1,1,23.08,1461.0,63.1,5.0
328,0,2005,90000,2,1,1,2,18.9,998.0,67.1,5.0
329,5,2010,90000,1,1,1,2,20.0,1399.0,68.0,5.0
330,7,2019,16500,2,2,1,1,17.0,1197.0,110.0,5.0
331,3,2017,67000,1,1,2,1,17.01,1582.0,126.2,5.0
332,0,2018,52000,2,2,1,1,22.0,1197.0,81.8,5.0
333,10,2016,40000,2,2,1,1,20.63,1198.0,67.0,5.0
334,3,2015,40000,2,2,1,1,18.9,1197.0,82.0,5.0
335,4,2018,35000,1,1,1,1,14.24,2755.0,174.5,7.0
336,6,2018,13000,2,2,1,1,20.71,799.0,53.26,5.0
337,2,2012,40000,2,2,1,1,18.5,1198.0,86.8,5.0
338,15,2019,10000,2,2,1,1,17.0,1198.0,73.75,5.0
339,17,2012,9000,2,2,1,1,16.95,1498.0,97.7,5.0
340,4,2013,70000,1,2,1,2,23.59,1364.0,67.06,5.0
341,3,2009,60000,2,2,1,1,20.36,1197.0,78.9,5.0
342,6,2014,40000,1,2,1,1,20.45,1461.0,83.8,5.0
343,7,2012,93000,1,2,1,1,15.1,2179.0,140.0,7.0
344,4,2008,80000,1,1,1,4,12.8,2494.0,102.0,7.0
345,8,2011,50000,2,1,1,2,15.64,1193.0,64.08,5.0
346,3,2013,68000,2,2,2,1,14.5,1797.0,147.5,5.0
347,12,2013,25000,1,1,2,1,14.84,2143.0,170.0,5.0
348,8,2012,18000,2,2,1,1,25.4,624.0,37.5,4.0
349,17,2013,120000,1,1,1,1,23.08,1461.0,63.1,5.0
350,0,2005,35000,2,1,1,1,18.9,998.0,67.1,5.0
351,0,2016,60000,1,1,1,2,26.59,1248.0,74.0,5.0
352,3,2010,70000,2,1,1,4,20.36,1197.0,78.9,5.0
353,6,2016,30000,2,1,1,1,25.17,799.0,53.3,5.0
354,15,2016,70000,2,1,2,1,16.34,1798.0,189.3,5.0
355,8,2015,110000,1,1,1,1,14.1,2179.0,147.94,7.0
356,22,2019,20000,1,1,2,1,18.0,1969.0,190.0,5.0
357,4,2016,68089,2,3,2,1,19.16,2494.0,157.7,5.0
358,0,2013,58343,2,3,1,1,21.79,998.0,67.05,5.0
359,0,2018,38817,1,2,1,1,27.39,1248.0,74.0,5.0
360,2,2016,56494,2,3,1,1,18.2,1199.0,88.7,5.0
361,4,2013,79328,1,3,1,2,12.99,2494.0,100.6,7.0
362,0,2019,5621,2,3,2,1,22.0,1197.0,81.8,5.0
363,4,2017,25538,2,3,1,1,16.78,1496.0,88.73,5.0
364,0,2018,69779,2,2,2,1,22.0,1197.0,81.8,5.0
365,3,2017,56290,1,2,1,1,24.0,1186.0,73.97,5.0
366,16,2019,7500,1,2,2,1,16.78,1995.0,190.0,5.0
367,16,2019,8500,1,2,2,1,16.78,1995.0,190.0,5.0
368,2,2019,7032,2,3,2,1,19.0,1199.0,88.76,5.0
369,22,2018,2000,1,2,2,1,16.8,1984.0,150.0,5.0
370,3,2010,106000,2,1,1,3,20.36,1197.0,78.9,5.0
371,2,2009,120000,2,1,2,2,11.1,2354.0,158.8,5.0
372,0,2015,90000,1,1,1,1,26.59,1248.0,74.0,5.0
373,3,2014,70000,1,1,1,3,22.32,1582.0,126.32,5.0
374,4,2005,240000,1,1,1,3,12.8,2494.0,102.0,8.0
375,0,2012,100000,1,1,1,2,21.5,1248.0,88.8,5.0
376,3,2009,214000,2,1,1,2,13.9,1599.0,103.2,5.0
377,3,2009,214000,1,1,1,2,16.8,1493.0,110.0,5.0
378,0,2016,50000,2,1,1,1,22.74,796.0,47.3,5.0
379,2,2018,1000,2,1,2,1,18.0,1497.0,117.6,5.0
380,0,2017,19000,1,1,2,1,28.4,1248.0,74.02,5.0
381,8,2012,265000,1,1,1,2,17.0,1405.0,70.0,5.0
382,0,2020,35000,4,1,1,1,20.88,1196.0,61.7,5.0
383,0,2014,80000,2,1,1,2,23.95,998.0,67.05,5.0
384,7,2016,50000,1,1,2,1,16.0,2179.0,140.0,7.0
385,0,2010,80000,2,1,1,1,20.92,998.0,67.1,5.0
386,3,2013,50000,2,1,1,2,21.1,814.0,55.2,5.0
387,8,2018,100000,2,1,1,1,23.84,1199.0,84.0,5.0
388,0,2013,120000,2,1,1,2,15.1,1196.0,73.0,5.0
389,2,2019,40000,1,1,2,1,23.8,1498.0,78.9,5.0
390,3,2017,45000,1,1,1,1,21.38,1396.0,88.7,5.0
391,0,2010,80000,2,1,1,2,19.7,796.0,46.3,5.0
392,3,2015,135000,1,1,1,2,24.4,1120.0,71.01,5.0
393,4,2015,120000,1,1,1,2,12.99,2494.0,100.6,7.0
394,4,2013,67000,1,1,1,1,23.59,1364.0,67.1,5.0
395,0,2017,50000,1,1,1,1,28.4,1248.0,74.02,5.0
396,4,2008,134000,1,1,1,2,12.8,2494.0,102.0,7.0
397,17,2011,110000,1,1,1,2,23.08,1461.0,63.1,5.0
398,0,2009,40000,2,1,1,1,16.1,796.0,37.0,4.0
